SUM(sold_quantity),product_code
425935,A6419160301
429830,A6419160302
417159,A6419160303
406239,A6519160401
426916,A6520160402
411606,A6520160403
418669,A6620160501
188544,A6620160502
181184,A6621160503
573273,A6720160103
564087,A6818160201
576644,A6818160202
569915,A6819160203
161788,A7118160101
162723,A7119160102
160716,A7119160103
300293,A7219160201
297620,A7220160202
284919,A7220160203
295343,A7321160301
297321,A7321160302
295621,A7321160303
